Number of Reads,403445700
Reads With Valid Barcodes,0.529607
Sequencing Saturation,0.818202
Q30 Bases in CB+UMI,0.828078
Q30 Bases in RNA read,0.637601
Reads Mapped to Genome: Unique+Multiple,0.53542
Reads Mapped to Genome: Unique,0.53542
Reads Mapped to Transcriptome: Unique+Multipe Genes,0.239946
Reads Mapped to Transcriptome: Unique Genes,0.233264
Estimated Number of Cells,2335
Reads in Cells Mapped to Unique Genes,60681195
Fraction of Reads in Cells,0.644794
Mean Reads per Cell,25987
Median Reads per Cell,20242
UMIs in Cells,10165214
Mean UMI per Cell,4353
Median UMI per Cell,3258
Mean Genes per Cell,2116
Median Genes per Cell,1810
Total Genes Detected,22640
