Number of Reads,131473567
Reads With Valid Barcodes,0.404518
Sequencing Saturation,0.249452
Q30 Bases in CB+UMI,0.821661
Q30 Bases in RNA read,0.796305
Reads Mapped to Genome: Unique+Multiple,0.485901
Reads Mapped to Genome: Unique,0.485901
Reads Mapped to Transcriptome: Unique+Multipe GeneFulls,0.282699
Reads Mapped to Transcriptome: Unique GeneFulls,0.275072
Estimated Number of Cells,13840
Reads in Cells Mapped to Unique GeneFulls,19251261
Fraction of Reads in Cells,0.532323
Mean Reads per Cell,1390
Median Reads per Cell,1181
UMIs in Cells,14170621
Mean UMI per Cell,1023
Median UMI per Cell,878
Mean GeneFulls per Cell,767
Median GeneFulls per Cell,692
Total GeneFulls Detected,20827
