Number of Reads,103036640
Reads With Valid Barcodes,0.381989
Sequencing Saturation,0.196693
Q30 Bases in CB+UMI,0.732578
Q30 Bases in RNA read,0.711272
Reads Mapped to Genome: Unique+Multiple,0.450167
Reads Mapped to Genome: Unique,0.450167
Reads Mapped to Transcriptome: Unique+Multipe GeneFulls,0.253479
Reads Mapped to Transcriptome: Unique GeneFulls,0.246585
Estimated Number of Cells,12547
Reads in Cells Mapped to Unique GeneFulls,14384777
Fraction of Reads in Cells,0.566168
Mean Reads per Cell,1146
Median Reads per Cell,954
UMIs in Cells,11372161
Mean UMI per Cell,906
Median UMI per Cell,762
Mean GeneFulls per Cell,699
Median GeneFulls per Cell,618
Total GeneFulls Detected,20645
