Number of Reads,100751546
Reads With Valid Barcodes,0.372737
Sequencing Saturation,0.19299
Q30 Bases in CB+UMI,0.739027
Q30 Bases in RNA read,0.707794
Reads Mapped to Genome: Unique+Multiple,0.454444
Reads Mapped to Genome: Unique,0.454444
Reads Mapped to Transcriptome: Unique+Multipe GeneFulls,0.250008
Reads Mapped to Transcriptome: Unique GeneFulls,0.243203
Estimated Number of Cells,12394
Reads in Cells Mapped to Unique GeneFulls,12355963
Fraction of Reads in Cells,0.504261
Mean Reads per Cell,996
Median Reads per Cell,827
UMIs in Cells,9799752
Mean UMI per Cell,790
Median UMI per Cell,666
Mean GeneFulls per Cell,616
Median GeneFulls per Cell,545
Total GeneFulls Detected,20253
