Number of Reads,130210119
Reads With Valid Barcodes,0.439545
Sequencing Saturation,0.25687
Q30 Bases in CB+UMI,0.82782
Q30 Bases in RNA read,0.791933
Reads Mapped to Genome: Unique+Multiple,0.48634
Reads Mapped to Genome: Unique,0.48634
Reads Mapped to Transcriptome: Unique+Multipe Genes,0.299095
Reads Mapped to Transcriptome: Unique Genes,0.29128
Estimated Number of Cells,14411
Reads in Cells Mapped to Unique Genes,23105678
Fraction of Reads in Cells,0.609205
Mean Reads per Cell,1603
Median Reads per Cell,1354
UMIs in Cells,16891716
Mean UMI per Cell,1172
Median UMI per Cell,1001
Mean Genes per Cell,866
Median Genes per Cell,779
Total Genes Detected,21100
