Number of Reads,403445700
Reads With Valid Barcodes,1
Sequencing Saturation,0.648457
Q30 Bases in CB+UMI,-nan
Q30 Bases in RNA read,0.608497
Reads Mapped to Genome: Unique+Multiple,0.332305
Reads Mapped to Genome: Unique,0.332305
Reads Mapped to Transcriptome: Unique+Multipe Genes,0.239942
Reads Mapped to Transcriptome: Unique Genes,0.23384
Estimated Number of Cells,1764
Reads in Cells Mapped to Unique Genes,31538144
Fraction of Reads in Cells,0.334297
Mean Reads per Cell,17878
Median Reads per Cell,13057
UMIs in Cells,7779275
Mean UMI per Cell,4410
Median UMI per Cell,3225
Mean Genes per Cell,2129
Median Genes per Cell,1836
Total Genes Detected,21905
