Number of Reads,210952000
Reads With Valid Barcodes,1
Sequencing Saturation,0.595855
Q30 Bases in CB+UMI,-nan
Q30 Bases in RNA read,0.60076
Reads Mapped to Genome: Unique+Multiple,0.562336
Reads Mapped to Genome: Unique,0.562336
Reads Mapped to Transcriptome: Unique+Multipe Genes,0.416467
Reads Mapped to Transcriptome: Unique Genes,0.405004
Estimated Number of Cells,1802
Reads in Cells Mapped to Unique Genes,19166932
Fraction of Reads in Cells,0.224342
Mean Reads per Cell,10636
Median Reads per Cell,7664
UMIs in Cells,5948405
Mean UMI per Cell,3301
Median UMI per Cell,2354
Mean Genes per Cell,1727
Median Genes per Cell,1441
Total Genes Detected,20277
