Number of Reads,403445700
Reads With Valid Barcodes,1
Sequencing Saturation,0.655679
Q30 Bases in CB+UMI,-nan
Q30 Bases in RNA read,0.608497
Reads Mapped to Genome: Unique+Multiple,0.332305
Reads Mapped to Genome: Unique,0.332305
Reads Mapped to Transcriptome: Unique+Multipe GeneFulls,0.252879
Reads Mapped to Transcriptome: Unique GeneFulls,0.246244
Estimated Number of Cells,1770
Reads in Cells Mapped to Unique GeneFulls,33404941
Fraction of Reads in Cells,0.336248
Mean Reads per Cell,18872
Median Reads per Cell,13809
UMIs in Cells,7997925
Mean UMI per Cell,4518
Median UMI per Cell,3297
Mean GeneFulls per Cell,2167
Median GeneFulls per Cell,1869
Total GeneFulls Detected,22405
