Number of Reads,438843919
Reads With Valid Barcodes,1
Sequencing Saturation,0.844932
Q30 Bases in CB+UMI,-nan
Q30 Bases in RNA read,0.591365
Reads Mapped to Genome: Unique+Multiple,0.551568
Reads Mapped to Genome: Unique,0.551568
Reads Mapped to Transcriptome: Unique+Multipe Genes,0.435267
Reads Mapped to Transcriptome: Unique Genes,0.423811
Estimated Number of Cells,2249
Reads in Cells Mapped to Unique Genes,79424580
Fraction of Reads in Cells,0.427044
Mean Reads per Cell,35315
Median Reads per Cell,26822
UMIs in Cells,6949914
Mean UMI per Cell,3090
Median UMI per Cell,2272
Mean Genes per Cell,1716
Median Genes per Cell,1447
Total Genes Detected,21949
