Number of Reads,403445700
Reads With Valid Barcodes,1
Sequencing Saturation,0.757258
Q30 Bases in CB+UMI,-nan
Q30 Bases in RNA read,0.637601
Reads Mapped to Genome: Unique+Multiple,0.53542
Reads Mapped to Genome: Unique,0.53542
Reads Mapped to Transcriptome: Unique+Multipe GeneFulls,0.405778
Reads Mapped to Transcriptome: Unique GeneFulls,0.394618
Estimated Number of Cells,2219
Reads in Cells Mapped to Unique GeneFulls,58934254
Fraction of Reads in Cells,0.370174
Mean Reads per Cell,26558
Median Reads per Cell,20359
UMIs in Cells,9732545
Mean UMI per Cell,4386
Median UMI per Cell,3257
Mean GeneFulls per Cell,2136
Median GeneFulls per Cell,1829
Total GeneFulls Detected,22959
