Number of Reads,403445700
Reads With Valid Barcodes,0.578215
Sequencing Saturation,0.735563
Q30 Bases in CB+UMI,0.743126
Q30 Bases in RNA read,0.608497
Reads Mapped to Genome: Unique+Multiple,0.332305
Reads Mapped to Genome: Unique,0.332305
Reads Mapped to Transcriptome: Unique+Multipe Genes,0.147068
Reads Mapped to Transcriptome: Unique Genes,0.143087
Estimated Number of Cells,1904
Reads in Cells Mapped to Unique Genes,35197856
Fraction of Reads in Cells,0.609721
Mean Reads per Cell,18486
Median Reads per Cell,13767
UMIs in Cells,8463671
Mean UMI per Cell,4445
Median UMI per Cell,3277
Mean Genes per Cell,2136
Median Genes per Cell,1835
Total Genes Detected,22185
